💖💖央视,#genre#
CCTV-1,http://cdnfhrrs.gz.chinamobile.com:8006/PLTV/88888888/224/3221225777/10000100000000060000000000240944_0.smil/index.m3u8?fmt=ts2hls1
CCTV-2,http://cdnfhrrs.gz.chinamobile.com:8006/PLTV/88888888/224/3221225706/10000100000000060000000000146027_0.smil/index.m3u8?fmt=ts2hls1
CCTV-3,http://cdnfhrrs.gz.chinamobile.com:8006/PLTV/88888888/224/3221226008/372609400.smil/index.m3u8?fmt=ts2hls1
CCTV-4,http://cdnfhrrs.gz.chinamobile.com:8006/PLTV/88888888/224/3221225779/10000100000000060000000000240942_0.smil/index.m3u8?fmt=ts2hls1
CCTV-4 欧洲,http://cdnfhrrs.gz.chinamobile.com:8006/PLTV/88888888/224/3221226268/405856709.smil/index.m3u8?fmt=ts2hls1
CCTV-4 美洲,http://cdnfhrrs.gz.chinamobile.com:8006/PLTV/88888888/224/3221226300/405856705.smil/index.m3u8?fmt=ts2hls1
CCTV-5,http://cdnfhrrs.gz.chinamobile.com:8006/PLTV/88888888/224/3221226024/372609396.smil/index.m3u8?fmt=ts2hls1
CCTV-5,http://cdnfhrrs.gz.chinamobile.com:8006/PLTV/88888888/224/3221226259/405214207.smil/index.m3u8?fmt=ts2hls1
CCTV-5+,http://cdnfhrrs.gz.chinamobile.com:8006/PLTV/88888888/224/3221226171/396486754.smil/index.m3u8?fmt=ts2hls1
CCTV-6,http://cdnfhrrs.gz.chinamobile.com:8006/PLTV/88888888/224/3221226011/372609392.smil/index.m3u8?fmt=ts2hls1
CCTV-7,http://cdnfhrrs.gz.chinamobile.com:8006/PLTV/88888888/224/3221225745/10000100000000060000000000146101_0.smil/index.m3u8?fmt=ts2hls1
CCTV-8,http://cdnfhrrs.gz.chinamobile.com:8006/PLTV/88888888/224/3221226005/372609500.smil/index.m3u8?fmt=ts2hls1
CCTV-9,http://cdnfhrrs.gz.chinamobile.com:8006/PLTV/88888888/224/3221226031/376381190.smil/index.m3u8?fmt=ts2hls1
CCTV-10,http://cdnfhrrs.gz.chinamobile.com:8006/PLTV/88888888/224/3221225685/10000100000000060000000000146100_0.smil/index.m3u8?fmt=ts2hls1
