⛄️央视频道,#genre#

CCTV-1,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8?
CCTV-1,http://125.210.152.19:9120/live/hzgq-cctv1gq-h264.m3u8
CCTV-1,http://live.cooltv.top/tv/aishang.php?id=cctv1
CCTV-1,http://hls.ye23.vip/hls/cctv1hd.m3u8
CCTV-2,http://218.204.51.252:9901/tsfile/live/1007_1.m3u8
CCTV-2,http://111.59.63.32:9901/tsfile/live/1009_1.m3u8
CCTV-3,http://183.63.15.42:9901/tsfile/live/0003_1.m3u8
CCTV-3,http://218.204.51.252:9901/tsfile/live/1008_1.m3u8
CCTV-3,http://111.59.63.32:9901/tsfile/live/1010_1.m3u8
CCTV-4,http://183.63.15.42:9901/tsfile/live/0004_1.m3u8
CCTV-4,http://218.204.51.252:9901/tsfile/live/1009_1.m3u8
CCTV-5,http://218.204.51.252:9901/tsfile/live/1010_1.m3u8
CCTV-5,http://111.59.63.32:9901/tsfile/live/1012_1.m3u8
CCTV-5,http://183.63.15.42:9901/tsfile/live/0005_1.m3u8
CCTV-5+,http://tvmvip110.club/as.php?id=cctv5p
CCTV-5+,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8?
CCTV-5+,http://117.169.121.162:6610/PLTV/88888910/224/3221225649/index.m3u8
CCTV-5+,http://111.59.189.40:8445/tsfile/live/1018_1.m3u8
CCTV-5+,http://39.135.138.60:18890/PLTV/88888910/224/3221225649/index.m3u8
CCTV-6,http://111.59.63.32:9901/tsfile/live/1013_1.m3u8
CCTV-6,http://183.63.15.42:9901/tsfile/live/0006_1.m3u8
CCTV-6,http://218.204.51.252:9901/tsfile/live/1011_1.m3u8
CCTV-7,http://183.63.15.42:9901/tsfile/live/0007_1.m3u8
CCTV-7,http://111.59.63.32:9901/tsfile/live/1014_1.m3u8
CCTV-7,http://218.204.51.252:9901/tsfile/live/1012_1.m3u8
CCTV-8,http://218.204.51.252:9901/tsfile/live/1013_1.m3u8
CCTV-8,http://111.59.63.32:9901/tsfile/live/1015_1.m3u8
CCTV-8,http://183.63.15.42:9901/tsfile/live/0008_1.m3u8
CCTV-9,http://218.204.51.252:9901/tsfile/live/1014_1.m3u8
CCTV-9,http://111.59.63.32:9901/tsfile/live/1016_1.m3u8
CCTV-9,http://112.19.214.90:8883/tsfile/live/0009_1.m3u8
CCTV-9,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225626/index.m3u8
CCTV-10,http://218.204.51.252:9901/tsfile/live/1015_1.m3u8
CCTV-10,http://112.19.214.90:8883/tsfile/live/0010_1.m3u8
CCTV-11,http://218.204.51.252:9901/tsfile/live/1016_1.m3u8
CCTV-11,http://112.19.214.90:8883/tsfile/live/0011_1.m3u8
CCTV-12,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv12HD/__op/default/__f//index.m3u8?
CCTV-12,http://39.135.138.60:18890/PLTV/88888910/224/3221225637/index.m3u8
CCTV-12,http://223.109.53.49/liveplay-kk.rtxapp.com/live/program/live/cctv12hd8m/8000000/mnf.m3u8?
CCTV-12,http://111.59.63.32:9901/tsfile/live/1019_1.m3u8
CCTV-13,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8

CCTV-14,http://111.59.63.32:9901/tsfile/live/1021_1.m3u8
CCTV-14,http://218.204.51.252:9901/tsfile/live/1019_1.m3u8
CCTV-15,http://111.59.63.32:9901/tsfile/live/1022_1.m3u8
CCTV-15,http://218.204.51.252:9901/tsfile/live/1020_1.m3u8
CCTV-16,http://111.11.123.37:6610/000000001000/5000000008000023254/index.m3u8?channel-id=bestzb&Contentid=5000000008000023254&livemode=1&stbId=3
CCTV-16,http://117.169.124.149:8080/live/HD-4000k-1080P-cctv16/1.m3u8
CCTV-16,http://111.11.123.31:6610/000000001000/5000000008000023254/index.m3u8?stbId=3&livemode=1&IASHttpSessionId=OTT2197120221119175523009763&channel-id=bestzb&Contentid=5000000008000023254
CCTV-17,http://112.19.214.90:8883/tsfile/live/0019_1.m3u8
CCTV-17,http://111.59.63.32:9901/tsfile/live/1023_1.m3u8
CCTV移动,http://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/649e19038fa74514ab3f00febbcd6de0/1200.m3u8
CCTV美洲,http://lu1.cc/c/tv/sjtv/p/migu.php?id=cctv4a
CCTV欧洲,http://lu1.cc/c/tv/sjtv/p/migu.php?id=cctv4o


CCTV-1,http://1.195.111.251:11190/tsfile/live/0001_1.m3u8
CCTV-1,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225618/index.m3u8
CCTV-1,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225918/index.m3u8
CCTV-2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8?
CCTV-2,http://hls.ye23.vip/hls/cctv2hd.m3u8
CCTV-2,http://1.195.111.251:11190/tsfile/live/0002_1.m3u8
CCTV-2,http://39.135.138.59:18890/PLTV/88888910/224/3221225619/index.m3u8
CCTV-2,http://39.135.138.58:18890/PLTV/88888888/224/3221225619/index.m3u8
CCTV-3,http://hls.ye23.vip/hls/cctv3hd.m3u8
CCTV-3,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225647/index.m3u8
CCTV-4,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?
CCTV-4,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?
CCTV-4,http://hls.ye23.vip/hls/cctv4hd.m3u8
CCTV-4,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV-4,http://1.195.111.251:11190/tsfile/live/0004_1.m3u8
CCTV-5,http://111.29.9.37:6610/000000001000/1000000005000025222/index.m3u8?stbId=3&livemode=1&IASHttpSessionId=OTT2197120221119175523009763&channel-id=ystenlive&Contentid=1000000005000025222
CCTV-5,http://111.29.9.42:6610/000000001000/1000000005000025222/index.m3u8?stbId=3&livemode=1&IASHttpSessionId=OTT2197120221119175523009763&channel-id=ystenlive&Contentid=1000000005000025222
CCTV-5,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?
CCTV-5,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?
CCTV-5,http://hls.ye23.vip/hls/cctv5hd.m3u8
CCTV-5,http://1.195.111.251:11190/tsfile/live/0005_1.m3u8
CCTV-5+,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8?
CCTV-5+,http://lu1.cc/c/tv/sjtv/p/migu.php?id=cctv5p
CCTV-6,http://hls.ye23.vip/hls/cctv6hd.m3u8
CCTV-6,http://1.195.111.251:11190/tsfile/live/0006_1.m3u8
CCTV-6,http://39.134.115.163:8080/PLTV/88888910/224/3221225632/index.m3u8
CCTV-6,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225650/index.m3u8
CCTV-7,http://hls.ye23.vip/hls/cctv7hd.m3u8
CCTV-7,http://1.195.111.251:11190/tsfile/live/0007_1.m3u8
CCTV-7,http://39.134.115.163:8080/TVOD/88888910/224/3221225644/index.m3u8
CCTV-8,http://lu1.cc/c/tv/sjtv/p/migu.php?id=cctv8
CCTV-8,http://hls.ye23.vip/hls/cctv8hd.m3u8
CCTV-8,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226012/index.m3u8?
CCTV-8,http://1.195.111.251:11190/tsfile/live/0008_1.m3u8
CCTV-8,http://39.135.138.60:18890/PLTV/88888910/224/3221225635/index.m3u8
CCTV-9,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8?
CCTV-9,http://hls.ye23.vip/hls/cctv9hd.m3u8
CCTV-9,http://1.195.111.251:11190/tsfile/live/0009_1.m3u8
CCTV-9,http://39.135.138.59:18890/PLTV/88888910/224/3221225626/index.m3u8
CCTV-9,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225626/index.m3u8
CCTV-10,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8?
